Regulator	Target	MI	pvalue
Zfp608	Ctla2a	1.304892806906946	9.044750415299063E-4
Isl1	Epb41l3	1.623953007860857	9.044750415299063E-4
Ets2	Gbp9	1.6712031468438784	9.044750415299063E-4
Gata3	Spink13	1.6745772509063965	2.1949162487544527E-5
Lmo2	C3ar1	1.727773595771921	0.03263817847320993
Runx1t1	Fry	1.151891188746088	9.229284003708926E-9
Tal1	Gm32401	2.0766623184956536	1.6986412276764895E-10
Irf5	Blnk	2.140304804802748	1.6986412276764895E-10
Pax8	Itga7	2.2522106515656315	0.03263817847320993
Tfec	Egr3	1.9274344061887567	1.6986412276764895E-10
Chd5	Syt7	1.478897452012406	0.03263817847320993
Erg	Nlrp1b	1.979903414443326	4.737510383989729E-7
Ikzf1	Csf1r	1.959922848031086	9.044750415299063E-4
Zfp385b	Mmrn1	1.2380296701862803	0.03263817847320993
Tsc22d3	Cfhr2	1.557732676129831	9.044750415299063E-4
Esrrg	Abcb11	0.9114625381392587	9.044750415299063E-4
Npas3	Gucy1b1	1.526838968829027	1.6986412276764895E-10
Irx5	Itgb7	1.7878438284987541	4.737510383989729E-7
Tfec	Adamts18	1.6766179496690263	4.737510383989729E-7
Npas3	Gucy1a1	1.4635025072975227	4.737510383989729E-7
Ahr	Gm8237	1.7285134206532051	4.737510383989729E-7
Cers6	Ccn2	1.4052237322438015	4.737510383989729E-7
Wt1	Gm44502	1.7164766516460386	0.03263817847320993
Cbfa2t3	Mcf2l	1.7972117785041397	1.6986412276764895E-10
Gata3	Zfp804a	1.7798418926213682	0.03263817847320993
Rarg	Emid1	1.350314165774921	9.229284003708926E-9
Ahr	Spats2l	1.886698803752656	1.6986412276764895E-10
Gli2	Slc13a1	2.3700550033356484	4.737510383989729E-7
Casz1	Ampd3	1.9893883196625424	1.6986412276764895E-10
Lyl1	Cd33	2.139153405841423	1.6986412276764895E-10
Vav1	Cd300a	2.2890068450586596	4.737510383989729E-7
Gli1	Gm49394	1.9972921990583938	2.1949162487544527E-5
Atad2	Pola1	1.7393163477633122	9.229284003708926E-9
Mlxipl	Col6a6	1.4592511777410497	2.1949162487544527E-5
Lyl1	Cd48	2.169623329297486	2.1949162487544527E-5
Lef1	Gm21057	1.3026467690697225	2.1949162487544527E-5
Zdbf2	Spag6l	2.171414570115706	9.229284003708926E-9
Prrx1	Runx1t1	1.6276772842672091	1.6986412276764895E-10
Zfp385b	St6galnac5	1.517294589927133	1.6986412276764895E-10
Tcf7l1	Clec9a	1.635847783397475	4.737510383989729E-7
